Char,"Image
[twemoji]",Unicode,"Occurrences
[5...max]","Position
[0...1]","Neg
[0...1]","Neut
[0...1]","Pos
[0...1]","Sentiment score
[-1...+1]","Sentiment bar
(c.i. 95%)",Unicode name,Unicode block
😂,😂,0x1f602,14622,0.805,0.247,0.285,0.468,0.221,,FACE WITH TEARS OF JOY,Emoticons
😍,😍,0x1f60d,6359,0.765,0.052,0.219,0.729,0.678,,SMILING FACE WITH HEART-SHAPED EYES,Emoticons
😭,😭,0x1f62d,5526,0.803,0.436,0.22,0.343,-0.093,,LOUDLY CRYING FACE,Emoticons
😘,😘,0x1f618,3648,0.854,0.053,0.193,0.754,0.701,,FACE THROWING A KISS,Emoticons
😊,😊,0x1f60a,3186,0.813,0.06,0.237,0.704,0.644,,SMILING FACE WITH SMILING EYES,Emoticons
😁,😁,0x1f601,2189,0.796,0.127,0.296,0.577,0.449,,GRINNING FACE WITH SMILING EYES,Emoticons
😩,😩,0x1f629,1808,0.826,0.591,0.186,0.223,-0.368,,WEARY FACE,Emoticons
🙏,🙏,0x1f64f,1539,0.794,0.081,0.421,0.498,0.417,,PERSON WITH FOLDED HANDS,Emoticons
😏,😏,0x1f60f,1522,0.765,0.112,0.444,0.444,0.332,,SMIRKING FACE,Emoticons
😉,😉,0x1f609,1521,0.845,0.1,0.337,0.563,0.463,,WINKING FACE,Emoticons
🙌,🙌,0x1f64c,1506,0.791,0.101,0.238,0.661,0.559,,PERSON RAISING BOTH HANDS IN CELEBRATION,Emoticons
🙈,🙈,0x1f648,1456,0.739,0.164,0.241,0.596,0.432,,SEE-NO-EVIL MONKEY,Emoticons
😄,😄,0x1f604,1398,0.795,0.137,0.305,0.558,0.421,,SMILING FACE WITH OPEN MOUTH AND SMILING EYES,Emoticons
😒,😒,0x1f612,1385,0.858,0.591,0.192,0.217,-0.374,,UNAMUSED FACE,Emoticons
😃,😃,0x1f603,1206,0.735,0.072,0.299,0.629,0.557,,SMILING FACE WITH OPEN MOUTH,Emoticons
😔,😔,0x1f614,1205,0.866,0.464,0.219,0.318,-0.146,,PENSIVE FACE,Emoticons
😱,😱,0x1f631,1130,0.773,0.264,0.282,0.454,0.19,,FACE SCREAMING IN FEAR,Emoticons
😜,😜,0x1f61c,1035,0.822,0.112,0.322,0.566,0.455,,FACE WITH STUCK-OUT TONGUE AND WINKING EYE,Emoticons
😳,😳,0x1f633,846,0.797,0.327,0.327,0.345,0.018,,FLUSHED FACE,Emoticons
😡,😡,0x1f621,756,0.862,0.532,0.108,0.36,-0.173,,POUTING FACE,Emoticons
😎,😎,0x1f60e,754,0.766,0.106,0.297,0.597,0.491,,SMILING FACE WITH SUNGLASSES,Emoticons
😢,😢,0x1f622,749,0.814,0.384,0.225,0.391,0.007,,CRYING FACE,Emoticons
😋,😋,0x1f60b,734,0.765,0.046,0.277,0.677,0.631,,FACE SAVOURING DELICIOUS FOOD,Emoticons
🙊,🙊,0x1f64a,725,0.741,0.135,0.272,0.593,0.459,,SPEAK-NO-EVIL MONKEY,Emoticons
😴,😴,0x1f634,718,0.85,0.422,0.237,0.341,-0.08,,SLEEPING FACE,Emoticons
😌,😌,0x1f60c,665,0.847,0.141,0.237,0.623,0.482,,RELIEVED FACE,Emoticons
😞,😞,0x1f61e,532,0.825,0.479,0.161,0.361,-0.118,,DISAPPOINTED FACE,Emoticons
😆,😆,0x1f606,527,0.809,0.155,0.281,0.564,0.409,,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES,Emoticons
😝,😝,0x1f61d,496,0.809,0.132,0.313,0.555,0.423,,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES,Emoticons
😪,😪,0x1f62a,482,0.858,0.431,0.219,0.351,-0.08,,SLEEPY FACE,Emoticons
😫,😫,0x1f62b,467,0.84,0.485,0.174,0.34,-0.145,,TIRED FACE,Emoticons
😅,😅,0x1f605,462,0.828,0.292,0.237,0.471,0.178,,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT,Emoticons
😀,😀,0x1f600,439,0.786,0.086,0.26,0.654,0.568,,GRINNING FACE,Emoticons
😚,😚,0x1f61a,424,0.853,0.049,0.192,0.759,0.71,,KISSING FACE WITH CLOSED EYES,Emoticons
😻,😻,0x1f63b,417,0.73,0.069,0.243,0.688,0.619,,SMILING CAT FACE WITH HEART-SHAPED EYES,Emoticons
😥,😥,0x1f625,341,0.882,0.317,0.244,0.439,0.122,,DISAPPOINTED BUT RELIEVED FACE,Emoticons
😕,😕,0x1f615,340,0.857,0.601,0.195,0.204,-0.397,,CONFUSED FACE,Emoticons
😤,😤,0x1f624,327,0.884,0.479,0.252,0.27,-0.209,,FACE WITH LOOK OF TRIUMPH,Emoticons
😈,😈,0x1f608,325,0.762,0.204,0.326,0.47,0.265,,SMILING FACE WITH HORNS,Emoticons
😰,😰,0x1f630,302,0.92,0.436,0.148,0.416,-0.02,,FACE WITH OPEN MOUTH AND COLD SWEAT,Emoticons
😑,😑,0x1f611,299,0.844,0.513,0.285,0.202,-0.311,,EXPRESSIONLESS FACE,Emoticons
😹,😹,0x1f639,295,0.807,0.299,0.262,0.44,0.141,,CAT FACE WITH TEARS OF JOY,Emoticons
😠,😠,0x1f620,288,0.849,0.564,0.172,0.265,-0.299,,ANGRY FACE,Emoticons
😓,😓,0x1f613,273,0.845,0.431,0.217,0.351,-0.08,,FACE WITH COLD SWEAT,Emoticons
😣,😣,0x1f623,271,0.903,0.54,0.131,0.328,-0.212,,PERSEVERING FACE,Emoticons
😐,😐,0x1f610,270,0.883,0.553,0.282,0.165,-0.388,,NEUTRAL FACE,Emoticons
😨,😨,0x1f628,269,0.814,0.434,0.272,0.294,-0.14,,FEARFUL FACE,Emoticons
😖,😖,0x1f616,268,0.869,0.483,0.188,0.328,-0.155,,CONFOUNDED FACE,Emoticons
😷,😷,0x1f637,246,0.84,0.474,0.221,0.305,-0.169,,FACE WITH MEDICAL MASK,Emoticons
🙋,🙋,0x1f64b,236,0.733,0.13,0.255,0.615,0.485,,HAPPY PERSON RAISING ONE HAND,Emoticons
😛,😛,0x1f61b,220,0.734,0.085,0.229,0.686,0.601,,FACE WITH STUCK-OUT TONGUE,Emoticons
😬,😬,0x1f62c,214,0.794,0.267,0.272,0.461,0.194,,GRIMACING FACE,Emoticons
😙,😙,0x1f619,191,0.876,0.021,0.18,0.799,0.778,,KISSING FACE WITH SMILING EYES,Emoticons
🙆,🙆,0x1f646,171,0.84,0.092,0.316,0.592,0.5,,FACE WITH OK GESTURE,Emoticons
🙅,🙅,0x1f645,165,0.839,0.458,0.286,0.256,-0.202,,FACE WITH NO GOOD GESTURE,Emoticons
🙉,🙉,0x1f649,150,0.758,0.176,0.314,0.51,0.333,,HEAR-NO-EVIL MONKEY,Emoticons
😇,😇,0x1f607,135,0.782,0.072,0.268,0.659,0.587,,SMILING FACE WITH HALO,Emoticons
😿,😿,0x1f63f,134,0.812,0.577,0.219,0.204,-0.372,,CRYING CAT FACE,Emoticons
😲,😲,0x1f632,129,0.854,0.386,0.295,0.318,-0.068,,ASTONISHED FACE,Emoticons
😶,😶,0x1f636,117,0.869,0.425,0.292,0.283,-0.142,,FACE WITHOUT MOUTH,Emoticons
😵,😵,0x1f635,103,0.809,0.321,0.274,0.406,0.085,,DIZZY FACE,Emoticons
😸,😸,0x1f638,97,0.782,0.12,0.35,0.53,0.41,,GRINNING CAT FACE WITH SMILING EYES,Emoticons
😧,😧,0x1f627,92,0.775,0.389,0.284,0.326,-0.063,,ANGUISHED FACE,Emoticons
😮,😮,0x1f62e,90,0.774,0.183,0.366,0.452,0.269,,FACE WITH OPEN MOUTH,Emoticons
😽,😽,0x1f63d,88,0.754,0.132,0.165,0.703,0.571,,KISSING CAT FACE WITH CLOSED EYES,Emoticons
🙀,🙀,0x1f640,88,0.791,0.165,0.341,0.495,0.33,,WEARY CAT FACE,Emoticons
🙇,🙇,0x1f647,83,0.794,0.291,0.279,0.43,0.14,,PERSON BOWING DEEPLY,Emoticons
😟,😟,0x1f61f,80,0.824,0.349,0.229,0.422,0.072,,WORRIED FACE,Emoticons
😯,😯,0x1f62f,62,0.859,0.262,0.354,0.385,0.123,,HUSHED FACE,Emoticons
😦,😦,0x1f626,54,0.882,0.544,0.281,0.175,-0.368,,FROWNING FACE WITH OPEN MOUTH,Emoticons
🙍,🙍,0x1f64d,49,0.845,0.577,0.173,0.25,-0.327,,PERSON FROWNING,Emoticons
😺,😺,0x1f63a,40,0.826,0.209,0.186,0.605,0.395,,SMILING CAT FACE WITH OPEN MOUTH,Emoticons
😾,😾,0x1f63e,33,0.915,0.583,0.167,0.25,-0.333,,POUTING CAT FACE,Emoticons
😼,😼,0x1f63c,28,0.856,0.194,0.258,0.548,0.355,,CAT FACE WITH WRY SMILE,Emoticons
🙎,🙎,0x1f64e,17,0.641,0.45,0.15,0.4,-0.05,,PERSON WITH POUTING FACE,Emoticons
😗,😗,0x1f617,15,0.714,0.111,0.167,0.722,0.611,,KISSING FACE,Emoticons
